scenario_id,scenario_name,primary_stress,range_band,trial_id,config,RMSE_3D_m,FDE_0p3s_m,lock_loss_binary,TFTL_s,cueing_success_binary,modality_switches,p99_tick_latency_ms,notes
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,35,B3,1.603,1.269,1,,,0,1.239,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,35,B4,1.279,1.099,0,1.019,,0,2.285,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,35,B6,1.451,1.223,0,0.215,1,0,2.378,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,35,Ours,1.15,0.899,0,0.222,1,2,2.532,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,36,B1,1.955,1.466,1,,,0,0.795,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,36,B3,1.159,0.808,1,,,0,1.188,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,36,B4,1.271,1.115,0,0.949,,0,2.418,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,36,B6,1.25,1.031,0,0.234,1,0,2.445,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,36,Ours,1.245,0.832,0,0.218,1,1,2.511,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,37,B1,1.672,1.338,1,,,0,0.775,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,37,B3,1.205,1.119,1,,,0,1.154,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,37,B4,1.18,1.087,0,0.784,,0,2.247,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,37,B6,1.432,1.103,0,0.234,1,0,2.381,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,37,Ours,1.293,1.202,0,0.168,1,3,2.531,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,38,B1,1.107,0.863,1,,,0,0.809,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,38,B3,1.384,1.134,0,,,0,1.272,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,38,B4,1.308,1.057,0,0.944,,0,2.267,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,38,B6,1.414,1.08,0,0.213,1,0,2.443,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,38,Ours,1.234,1.12,0,0.207,1,1,2.503,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,39,B1,1.716,1.434,1,,,0,0.79,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,39,B3,1.593,1.287,1,,,0,1.156,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,39,B4,1.855,1.575,0,0.974,,0,2.226,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,39,B6,1.115,0.941,0,0.214,1,0,2.404,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,39,Ours,1.429,1.122,0,0.202,1,1,2.464,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,40,B1,1.38,1.217,1,,,0,0.883,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,40,B3,1.813,1.472,1,,,0,1.195,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,40,B4,1.406,1.208,0,0.85,,0,2.276,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,40,B6,1.131,1.002,0,0.207,1,0,2.397,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,40,Ours,0.664,0.53,0,0.183,1,2,2.536,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,41,B1,1.799,1.493,1,,,0,0.754,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,41,B3,1.803,1.359,1,,,0,1.138,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,41,B4,1.369,1.148,0,0.922,,0,2.271,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,41,B6,1.443,1.073,0,0.175,1,0,2.333,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,41,Ours,1.233,0.902,0,0.213,1,2,2.509,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,42,B1,0.992,0.784,1,,,0,0.798,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,42,B3,1.876,1.573,1,,,0,1.244,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,42,B4,1.525,1.184,0,0.772,,0,2.377,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,42,B6,1.381,0.921,0,0.223,1,0,2.39,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,42,Ours,1.394,1.087,0,0.199,1,1,2.48,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,43,B1,1.572,1.264,1,,,0,0.777,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,43,B3,1.337,1.012,1,,,0,1.168,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,43,B4,1.363,1.141,0,0.708,,0,2.442,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,43,B6,1.31,1.35,0,0.225,1,0,2.432,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,43,Ours,1.286,0.911,0,0.217,1,1,2.553,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,44,B1,1.939,1.642,1,,,0,0.721,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,44,B3,1.919,1.63,1,,,0,1.206,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,44,B4,1.243,1.098,0,0.956,,0,2.336,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,44,B6,1.333,1.168,0,0.213,1,0,2.405,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,44,Ours,1.277,1.021,0,0.196,1,3,2.467,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,45,B1,2.072,1.64,1,,,0,0.833,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,45,B3,1.303,1.156,1,,,0,1.168,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,45,B4,1.232,0.834,0,0.881,,0,2.315,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,45,B6,0.973,0.743,0,0.189,1,0,2.289,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,45,Ours,1.258,0.917,0,0.203,1,1,2.526,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,46,B1,1.574,1.391,1,,,0,0.826,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,46,B3,1.487,1.247,1,,,0,1.188,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,46,B4,1.351,0.996,0,0.801,,0,2.335,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,46,B6,1.529,1.316,0,0.176,1,0,2.413,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,46,Ours,1.309,0.962,0,0.201,1,1,2.474,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,47,B1,1.96,1.502,1,,,0,0.861,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,47,B3,1.947,1.634,1,,,0,1.32,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,47,B4,1.382,1.173,0,0.969,,0,2.289,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,47,B6,1.195,0.882,0,0.183,1,0,2.348,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,47,Ours,1.32,1.205,0,0.176,1,1,2.597,
